SECONDS,PID,VALUE,UNITS
41402.30202,Average speed (GPS),38.7812674,mph
41402.30202,Speed (GPS),38.7812674,mph
41402.30302,Altitude (GPS),603.346476,feet
41403.06702,Altitude (GPS),602.690308,feet
41403.06702,Average speed (GPS),39.59361354,mph
41403.06702,Speed (GPS),39.70189096,mph
41403.09402,Altitude (GPS),602.690308,feet
41403.09402,Average speed (GPS),39.5969512,mph
41403.09402,Speed (GPS),39.70189096,mph
41404.08602,Altitude (GPS),601.377972,feet
41404.08602,Average speed (GPS),40.13622744,mph
41404.08602,Speed (GPS),40.62251452,mph
41404.16602,Altitude (GPS),601.377972,feet
41404.16602,Average speed (GPS),40.15602342,mph
41404.16602,Speed (GPS),40.62251452,mph
41405.09002,Altitude (GPS),600.065636,feet
41405.09002,Average speed (GPS),40.52582197,mph
41405.09002,Speed (GPS),41.31298218,mph
41405.11302,Altitude (GPS),600.065636,feet
41405.11302,Average speed (GPS),40.53205075,mph
41405.11302,Speed (GPS),41.31298218,mph
41406.05502,Altitude (GPS),598.7533,feet
41406.05502,Average speed (GPS),40.86337739,mph
41406.05502,Speed (GPS),41.88837191,mph
41406.06902,Altitude (GPS),598.7533,feet
41406.06902,Average speed (GPS),40.86708208,mph
41406.06902,Speed (GPS),41.88837191,mph
41407.06602,Altitude (GPS),597.11288,feet
41407.06602,Average speed (GPS),41.21775693,mph
41407.06602,Speed (GPS),42.57883958,mph
41407.09102,Altitude (GPS),597.11288,feet
41407.09102,Average speed (GPS),41.22477181,mph
41407.09102,Speed (GPS),42.57883958,mph
41408.10602,Altitude (GPS),595.144376,feet
41408.10602,Average speed (GPS),41.55631094,mph
41408.10602,Speed (GPS),43.1542293,mph
41408.15302,Altitude (GPS),595.144376,feet
41408.15302,Average speed (GPS),41.56905756,mph
41408.15302,Speed (GPS),43.1542293,mph
41409.06802,Altitude (GPS),593.503956,feet
41409.06802,Average speed (GPS),41.79555186,mph
41409.06802,Speed (GPS),43.26930725,mph
41409.09502,Altitude (GPS),593.503956,feet
41409.09502,Average speed (GPS),41.80120215,mph
41409.09502,Speed (GPS),43.26930725,mph
41410.06902,Altitude (GPS),592.19162,feet
41410.06902,Average speed (GPS),41.98301391,mph
41410.06902,Speed (GPS),43.26930725,mph
41410.16102,Altitude (GPS),592.19162,feet
41411.10702,Altitude (GPS),591.535452,feet
41411.10702,Average speed (GPS),42.17316647,mph
41411.10702,Speed (GPS),43.61454108,mph
41412.14602,Average speed (GPS),42.34771763,mph
41412.14602,Speed (GPS),43.84469697,mph
41413.99202,Altitude (GPS),592.19162,feet
41413.99202,Average speed (GPS),42.32985281,mph
41413.99202,Speed (GPS),42.23360574,mph
41414.25002,Altitude (GPS),592.847788,feet
41414.25002,Average speed (GPS),42.31052763,mph
41414.25002,Speed (GPS),41.42806013,mph
41415.40302,Altitude (GPS),594.816292,feet
41415.40302,Average speed (GPS),42.16313803,mph
41415.40302,Speed (GPS),40.62251452,mph
41416.12502,Altitude (GPS),596.784796,feet
41416.12502,Average speed (GPS),42.06532009,mph
41416.12502,Speed (GPS),40.27728068,mph
41417.11502,Altitude (GPS),598.097132,feet
41417.11502,Average speed (GPS),42.00776257,mph
41417.11502,Speed (GPS),41.19790424,mph
41418.13202,Altitude (GPS),600.39372,feet
41418.13202,Average speed (GPS),41.98544885,mph
41418.13202,Speed (GPS),41.65821602,mph
41419.20902,Altitude (GPS),602.690308,feet
41419.20902,Average speed (GPS),41.95744538,mph
41419.20902,Speed (GPS),41.54313807,mph
41420.10402,Altitude (GPS),604.330728,feet
41420.10402,Average speed (GPS),41.89647258,mph
41420.10402,Speed (GPS),40.73759246,mph
41421.13702,Altitude (GPS),605.971148,feet
41421.13702,Average speed (GPS),41.73903269,mph
41421.13702,Speed (GPS),39.01142329,mph
41422.14102,Average speed (GPS),41.48581213,mph
41422.14102,Speed (GPS),36.70986439,mph
41422.14202,Altitude (GPS),607.283484,feet
41423.61102,Altitude (GPS),608.59582,feet
41423.61102,Average speed (GPS),41.01583027,mph
41423.61102,Speed (GPS),34.63846139,mph
41424.34602,Altitude (GPS),608.923904,feet
41424.34602,Average speed (GPS),40.75472198,mph
41424.34602,Speed (GPS),33.1424481,mph
41425.09602,Altitude (GPS),609.580072,feet
41425.09602,Average speed (GPS),40.47885716,mph
41425.09602,Speed (GPS),32.33690249,mph
41426.25502,Average speed (GPS),40.10864026,mph
41426.25502,Speed (GPS),32.79721427,mph
41427.07502,Average speed (GPS),39.89420741,mph
41427.07502,Speed (GPS),33.60275988,mph
41428.07302,Altitude (GPS),610.23624,feet
41428.07302,Average speed (GPS),39.66047471,mph
41428.07302,Speed (GPS),33.83291577,mph
41429.12802,Altitude (GPS),610.564324,feet
41429.12802,Average speed (GPS),39.49530554,mph
41429.12802,Speed (GPS),35.444007,mph
41430.07802,Average speed (GPS),39.40820111,mph
41430.07802,Speed (GPS),36.94002028,mph
41431.25602,Average speed (GPS),39.3827805,mph
